project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,2023-12-23T15:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T15:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T15:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T16:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T16:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T16:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T16:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T17:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T17:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T17:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T17:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T18:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T18:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T18:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T18:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T19:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T19:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T19:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T19:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T20:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T20:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T20:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T20:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T21:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T21:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T21:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T21:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T22:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T22:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T22:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T22:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T23:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.98,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T23:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T23:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-23T23:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T00:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T00:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T00:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T00:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T01:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T01:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T01:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T01:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T02:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T02:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T02:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T02:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T03:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T03:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T03:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T03:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T04:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T04:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T04:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T04:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T05:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T05:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T05:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T05:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T06:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T06:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T06:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T06:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T07:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T07:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T07:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T07:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T08:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T08:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T08:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T08:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T09:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T09:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T09:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T09:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T10:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T10:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T10:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T10:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T11:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T11:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T11:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T11:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T12:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T12:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T12:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T12:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T13:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T13:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T13:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T13:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T14:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T14:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T14:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T14:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T15:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T15:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T15:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T15:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T16:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.872,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T16:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T16:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T16:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T17:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T17:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T17:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T17:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T18:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T18:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T18:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T18:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T19:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T19:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T19:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T19:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T20:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T20:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T20:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T20:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T21:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T21:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T21:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T21:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T22:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T22:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.764,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T22:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T22:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T23:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T23:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T23:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-24T23:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T00:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T00:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T00:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T00:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T01:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T01:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T01:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T01:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T02:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T02:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T02:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T02:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T03:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T03:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T03:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T03:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T04:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T04:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T04:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T04:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T05:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T05:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T05:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T05:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T06:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T06:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T06:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T06:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T07:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T07:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T07:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T07:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T08:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T08:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T08:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T08:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T09:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T09:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T09:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T09:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T10:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T10:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T10:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T10:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T11:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T11:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T11:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T11:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T12:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T12:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T12:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T12:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T13:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T13:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T13:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T13:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T14:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T14:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T14:30:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T14:45:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T15:00:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
AIMS,2023-12-25T15:15:00Z,GBJ62,STIC,20230509-20231231,SW,21059672,41333.6,1.656,212.5938634,1,excellent,NA,2023
